img_file_i,key,y,time
0,,0,20250930_164936
1,,0,20250930_164936
2,,0,20250930_164936
3,,0,20250930_164936
4,,0,20250930_164936
5,,0,20250930_164936
6,,0,20250930_164936
7,,0,20250930_164936
8,,0,20250930_164936
9,,0,20250930_164936
10,,0,20250930_164936
11,,0,20250930_164936
12,,0,20250930_164936
13,,0,20250930_164936
14,,0,20250930_164936
15,,0,20250930_164936
16,Button.left,1,20250930_164936
17,,0,20250930_164936
18,,0,20250930_164936
19,,0,20250930_164936
20,Button.right,2,20250930_164936
21,Button.right,2,20250930_164936
22,Button.right,2,20250930_164936
23,Button.right,2,20250930_164936
24,Button.right,2,20250930_164936
25,Button.right,2,20250930_164936
26,Button.right,2,20250930_164936
27,Button.right,2,20250930_164936
28,Button.right,2,20250930_164936
29,Button.left,1,20250930_164936
30,,0,20250930_164936
31,,0,20250930_164936
32,,0,20250930_164936
33,,0,20250930_164936
34,Button.right,2,20250930_164936
35,Button.right,2,20250930_164936
36,Button.right,2,20250930_164936
37,Button.right,2,20250930_164936
38,Button.right,2,20250930_164936
39,Button.right,2,20250930_164936
40,Button.right,2,20250930_164936
41,Button.right,2,20250930_164936
42,Button.right,2,20250930_164936
43,Button.right,2,20250930_164936
44,Button.right,2,20250930_164936
45,Button.right,2,20250930_164936
46,Button.right,2,20250930_164936
47,Button.right,2,20250930_164936
48,Button.right,2,20250930_164936
49,Button.right,2,20250930_164936
50,Button.right,2,20250930_164936
51,Button.right,2,20250930_164936
52,Button.right,2,20250930_164936
53,Button.right,2,20250930_164936
54,Button.right,2,20250930_164936
55,Button.right,2,20250930_164936
56,Button.right,2,20250930_164936
57,Button.right,2,20250930_164936
58,Button.right,2,20250930_164936
59,Button.right,2,20250930_164936
60,,0,20250930_164936
61,Button.right,2,20250930_164936
62,Button.right,2,20250930_164936
63,Button.right,2,20250930_164936
64,Button.right,2,20250930_164936
65,Button.right,2,20250930_164936
66,Button.right,2,20250930_164936
67,Button.right,2,20250930_164936
68,Button.right,2,20250930_164936
69,Button.right,2,20250930_164936
70,Button.right,2,20250930_164936
71,Button.right,2,20250930_164936
72,Button.right,2,20250930_164936
73,Button.right,2,20250930_164936
74,Button.right,2,20250930_164936
75,,0,20250930_164936
76,,0,20250930_164936
77,,0,20250930_164936
78,,0,20250930_164936
79,,0,20250930_164936
80,,0,20250930_164936
81,,0,20250930_164936
82,,0,20250930_164936
83,,0,20250930_164936
84,,0,20250930_164936
85,,0,20250930_164936
86,,0,20250930_164936
87,,0,20250930_164936
88,,0,20250930_164936
89,,0,20250930_164936
90,,0,20250930_164936
91,,0,20250930_164936
92,,0,20250930_164936
93,,0,20250930_164936
94,,0,20250930_164936
95,,0,20250930_164936
96,,0,20250930_164936
97,,0,20250930_164936
98,,0,20250930_164936
99,,0,20250930_164936
100,,0,20250930_164936
101,,0,20250930_164936
102,,0,20250930_164936
103,Button.left,1,20250930_164936
104,,0,20250930_164936
105,,0,20250930_164936
106,,0,20250930_164936
107,Button.right,2,20250930_164936
108,Button.right,2,20250930_164936
109,Button.right,2,20250930_164936
110,Button.right,2,20250930_164936
111,Button.right,2,20250930_164936
112,Button.right,2,20250930_164936
113,Button.right,2,20250930_164936
114,Button.right,2,20250930_164936
115,Button.right,2,20250930_164936
116,Button.right,2,20250930_164936
117,Button.right,2,20250930_164936
118,Button.right,2,20250930_164936
119,Button.right,2,20250930_164936
120,Button.right,2,20250930_164936
121,Button.right,2,20250930_164936
122,Button.right,2,20250930_164936
123,Button.right,2,20250930_164936
124,Button.right,2,20250930_164936
125,Button.right,2,20250930_164936
126,Button.right,2,20250930_164936
127,Button.right,2,20250930_164936
128,Button.right,2,20250930_164936
129,Button.right,2,20250930_164936
130,Button.right,2,20250930_164936
131,Button.right,2,20250930_164936
132,Button.right,2,20250930_164936
133,Button.right,2,20250930_164936
134,Button.right,2,20250930_164936
135,Button.right,2,20250930_164936
136,Button.right,2,20250930_164936
137,Button.right,2,20250930_164936
138,Button.right,2,20250930_164936
139,Button.right,2,20250930_164936
140,Button.right,2,20250930_164936
141,Button.right,2,20250930_164936
142,Button.right,2,20250930_164936
143,Button.right,2,20250930_164936
144,Button.right,2,20250930_164936
145,Button.right,2,20250930_164936
146,Button.right,2,20250930_164936
147,Button.right,2,20250930_164936
148,Button.right,2,20250930_164936
149,Button.right,2,20250930_164936
150,Button.right,2,20250930_164936
151,Button.right,2,20250930_164936
152,,0,20250930_164936
153,,0,20250930_164936
154,,0,20250930_164936
155,,0,20250930_164936
156,,0,20250930_164936
157,,0,20250930_164936
158,,0,20250930_164936
159,,0,20250930_164936
160,Button.right,2,20250930_164936
161,Button.right,2,20250930_164936
162,Button.right,2,20250930_164936
163,Button.right,2,20250930_164936
164,Button.right,2,20250930_164936
165,Button.right,2,20250930_164936
166,,0,20250930_164936
167,,0,20250930_164936
168,,0,20250930_164936
169,,0,20250930_164936
170,,0,20250930_164936
171,Button.right,2,20250930_164936
172,Button.right,2,20250930_164936
173,Button.right,2,20250930_164936
174,Button.right,2,20250930_164936
175,Button.right,2,20250930_164936
176,Button.right,2,20250930_164936
177,Button.right,2,20250930_164936
178,,0,20250930_164936
179,,0,20250930_164936
180,,0,20250930_164936
181,,0,20250930_164936
182,Button.right,2,20250930_164936
183,Button.right,2,20250930_164936
184,Button.right,2,20250930_164936
185,,0,20250930_164936
186,,0,20250930_164936
187,,0,20250930_164936
188,Button.left,1,20250930_164936
189,,0,20250930_164936
190,Button.left,1,20250930_164936
191,Button.left,1,20250930_164936
192,Button.left,1,20250930_164936
193,,0,20250930_164936
194,,0,20250930_164936
195,Button.left,1,20250930_164936
196,Button.left,1,20250930_164936
197,,0,20250930_164936
198,,0,20250930_164936
199,Button.right,2,20250930_164936
200,Button.right,2,20250930_164936
201,Button.right,2,20250930_164936
202,Button.right,2,20250930_164936
203,Button.right,2,20250930_164936
204,Button.right,2,20250930_164936
205,Button.right,2,20250930_164936
206,Button.right,2,20250930_164936
207,Button.right,2,20250930_164936
208,Button.right,2,20250930_164936
209,Button.right,2,20250930_164936
210,Button.right,2,20250930_164936
211,Button.right,2,20250930_164936
212,Button.right,2,20250930_164936
213,Button.left,1,20250930_164936
214,,0,20250930_164936
215,,0,20250930_164936
216,,0,20250930_164936
217,,0,20250930_164936
218,Button.right,2,20250930_164936
219,Button.right,2,20250930_164936
220,Button.right,2,20250930_164936
221,Button.right,2,20250930_164936
222,Button.right,2,20250930_164936
223,Button.right,2,20250930_164936
224,Button.right,2,20250930_164936
225,Button.right,2,20250930_164936
226,Button.right,2,20250930_164936
227,Button.right,2,20250930_164936
228,Button.right,2,20250930_164936
229,Button.right,2,20250930_164936
230,Button.right,2,20250930_164936
231,Button.right,2,20250930_164936
232,Button.right,2,20250930_164936
233,Button.right,2,20250930_164936
234,Button.right,2,20250930_164936
235,,0,20250930_164936
236,Button.right,2,20250930_164936
237,Button.right,2,20250930_164936
238,Button.right,2,20250930_164936
239,Button.right,2,20250930_164936
240,Button.right,2,20250930_164936
241,Button.right,2,20250930_164936
242,Button.right,2,20250930_164936
243,Button.right,2,20250930_164936
244,Button.right,2,20250930_164936
245,Button.right,2,20250930_164936
246,Button.right,2,20250930_164936
247,Button.right,2,20250930_164936
248,Button.right,2,20250930_164936
249,Button.right,2,20250930_164936
250,Button.right,2,20250930_164936
251,,0,20250930_164936
252,,0,20250930_164936
253,,0,20250930_164936
254,Button.left,1,20250930_164936
255,,0,20250930_164936
256,Button.left,1,20250930_164936
257,,0,20250930_164936
258,Button.left,1,20250930_164936
259,,0,20250930_164936
260,Button.left,1,20250930_164936
261,,0,20250930_164936
262,Button.left,1,20250930_164936
263,Button.left,1,20250930_164936
264,,0,20250930_164936
265,,0,20250930_164936
266,Button.right,2,20250930_164936
267,Button.right,2,20250930_164936
268,Button.right,2,20250930_164936
269,Button.right,2,20250930_164936
270,Button.right,2,20250930_164936
271,Button.right,2,20250930_164936
272,Button.right,2,20250930_164936
273,Button.right,2,20250930_164936
274,Button.right,2,20250930_164936
275,Button.right,2,20250930_164936
276,Button.right,2,20250930_164936
277,Button.right,2,20250930_164936
278,Button.right,2,20250930_164936
279,Button.right,2,20250930_164936
280,Button.right,2,20250930_164936
281,,0,20250930_164936
282,,0,20250930_164936
283,,0,20250930_164936
284,Button.left,1,20250930_164936
285,,0,20250930_164936
286,,0,20250930_164936
287,Button.left,1,20250930_164936
288,,0,20250930_164936
289,,0,20250930_164936
290,,0,20250930_164936
291,,0,20250930_164936
292,Button.right,2,20250930_164936
293,Button.right,2,20250930_164936
294,Button.right,2,20250930_164936
295,Button.right,2,20250930_164936
296,Button.right,2,20250930_164936
297,Button.right,2,20250930_164936
298,Button.right,2,20250930_164936
299,Button.right,2,20250930_164936
300,Button.right,2,20250930_164936
301,Button.right,2,20250930_164936
302,Button.right,2,20250930_164936
303,Button.right,2,20250930_164936
304,Button.right,2,20250930_164936
305,Button.right,2,20250930_164936
306,Button.right,2,20250930_164936
307,Button.right,2,20250930_164936
308,Button.right,2,20250930_164936
309,Button.left,1,20250930_164936
310,,0,20250930_164936
311,,0,20250930_164936
312,Button.right,2,20250930_164936
313,Button.right,2,20250930_164936
314,Button.right,2,20250930_164936
315,Button.right,2,20250930_164936
316,Button.right,2,20250930_164936
317,Button.right,2,20250930_164936
318,Button.right,2,20250930_164936
319,Button.right,2,20250930_164936
320,Button.right,2,20250930_164936
321,Button.right,2,20250930_164936
322,Button.right,2,20250930_164936
323,Button.right,2,20250930_164936
324,Button.right,2,20250930_164936
325,Button.right,2,20250930_164936
326,Button.right,2,20250930_164936
327,Button.right,2,20250930_164936
328,Button.right,2,20250930_164936
329,Button.right,2,20250930_164936
330,Button.right,2,20250930_164936
331,Button.right,2,20250930_164936
332,Button.right,2,20250930_164936
333,Button.right,2,20250930_164936
334,Button.right,2,20250930_164936
335,Button.right,2,20250930_164936
336,Button.right,2,20250930_164936
337,Button.right,2,20250930_164936
338,Button.right,2,20250930_164936
339,Button.right,2,20250930_164936
340,,0,20250930_164936
341,,0,20250930_164936
342,,0,20250930_164936
343,,0,20250930_164936
344,,0,20250930_164936
345,Button.left,1,20250930_164936
346,,0,20250930_164936
347,,0,20250930_164936
348,,0,20250930_164936
349,,0,20250930_164936
350,,0,20250930_164936
351,Button.right,2,20250930_164936
352,Button.right,2,20250930_164936
353,Button.right,2,20250930_164936
354,Button.right,2,20250930_164936
355,Button.right,2,20250930_164936
356,Button.right,2,20250930_164936
357,Button.right,2,20250930_164936
358,Button.right,2,20250930_164936
359,Button.right,2,20250930_164936
360,Button.right,2,20250930_164936
361,Button.right,2,20250930_164936
362,Button.right,2,20250930_164936
363,Button.right,2,20250930_164936
364,Button.right,2,20250930_164936
365,Button.right,2,20250930_164936
366,,0,20250930_164936
367,Button.right,2,20250930_164936
368,Button.right,2,20250930_164936
369,Button.right,2,20250930_164936
370,Button.right,2,20250930_164936
371,Button.right,2,20250930_164936
372,Button.right,2,20250930_164936
373,Button.right,2,20250930_164936
374,Button.right,2,20250930_164936
375,Button.right,2,20250930_164936
376,Button.right,2,20250930_164936
377,Button.right,2,20250930_164936
378,Button.right,2,20250930_164936
379,Button.right,2,20250930_164936
380,Button.right,2,20250930_164936
381,Button.right,2,20250930_164936
382,Button.right,2,20250930_164936
383,Button.right,2,20250930_164936
384,Button.right,2,20250930_164936
385,Button.right,2,20250930_164936
386,Button.left,1,20250930_164936
387,,0,20250930_164936
388,,0,20250930_164936
389,,0,20250930_164936
390,Button.right,2,20250930_164936
391,Button.right,2,20250930_164936
392,Button.right,2,20250930_164936
393,Button.right,2,20250930_164936
394,Button.right,2,20250930_164936
395,Button.right,2,20250930_164936
396,Button.right,2,20250930_164936
397,Button.right,2,20250930_164936
398,,0,20250930_164936
399,,0,20250930_164936
400,Button.left,1,20250930_164936
401,,0,20250930_164936
402,,0,20250930_164936
403,,0,20250930_164936
404,,0,20250930_164936
405,Button.left,1,20250930_164936
406,Button.left,1,20250930_164936
407,Button.left,1,20250930_164936
408,Button.left,1,20250930_164936
409,,0,20250930_164936
410,,0,20250930_164936
411,,0,20250930_164936
412,Button.right,2,20250930_164936
413,Button.right,2,20250930_164936
414,Button.right,2,20250930_164936
415,Button.right,2,20250930_164936
416,Button.right,2,20250930_164936
417,Button.right,2,20250930_164936
418,Button.right,2,20250930_164936
419,,0,20250930_164936
420,Key.space,3,20250930_164936
421,Key.space,3,20250930_164936
422,,0,20250930_164936
423,Key.space,3,20250930_164936
424,Key.space,3,20250930_164936
425,,0,20250930_164936
426,,0,20250930_164936
427,Button.left,1,20250930_164936
428,,0,20250930_164936
429,,0,20250930_164936
430,,0,20250930_164936
431,Button.left,1,20250930_164936
432,,0,20250930_164936
433,,0,20250930_164936
434,,0,20250930_164936
435,,0,20250930_164936
436,,0,20250930_164936
437,Button.right,2,20250930_164936
438,Button.right,2,20250930_164936
439,Button.right,2,20250930_164936
440,Button.right,2,20250930_164936
441,Button.right,2,20250930_164936
442,Button.right,2,20250930_164936
443,Button.right,2,20250930_164936
444,Button.right,2,20250930_164936
445,Button.right,2,20250930_164936
446,Button.right,2,20250930_164936
447,Button.right,2,20250930_164936
448,Button.right,2,20250930_164936
449,Button.right,2,20250930_164936
450,Button.right,2,20250930_164936
451,Button.right,2,20250930_164936
452,Button.right,2,20250930_164936
453,Button.right,2,20250930_164936
454,Button.right,2,20250930_164936
455,Button.right,2,20250930_164936
456,Button.right,2,20250930_164936
457,Button.right,2,20250930_164936
458,Button.right,2,20250930_164936
459,Button.right,2,20250930_164936
460,Button.right,2,20250930_164936
461,Button.right,2,20250930_164936
462,Button.right,2,20250930_164936
463,Button.right,2,20250930_164936
464,Button.right,2,20250930_164936
465,Button.right,2,20250930_164936
466,Button.right,2,20250930_164936
467,Button.right,2,20250930_164936
468,Button.right,2,20250930_164936
469,Button.right,2,20250930_164936
470,Button.right,2,20250930_164936
471,Button.right,2,20250930_164936
472,Button.right,2,20250930_164936
473,,0,20250930_164936
474,,0,20250930_164936
475,,0,20250930_164936
476,,0,20250930_164936
477,,0,20250930_164936
478,,0,20250930_164936
479,,0,20250930_164936
480,,0,20250930_164936
481,,0,20250930_164936
482,Button.left,1,20250930_164936
483,,0,20250930_164936
484,,0,20250930_164936
485,,0,20250930_164936
486,Button.right,2,20250930_164936
487,Button.right,2,20250930_164936
488,Button.right,2,20250930_164936
489,Button.right,2,20250930_164936
490,Button.right,2,20250930_164936
491,,0,20250930_164936
492,Button.right,2,20250930_164936
493,Button.right,2,20250930_164936
494,Button.right,2,20250930_164936
495,Button.right,2,20250930_164936
496,Button.right,2,20250930_164936
497,Button.right,2,20250930_164936
498,Button.right,2,20250930_164936
499,Button.right,2,20250930_164936
500,,0,20250930_164936
501,,0,20250930_164936
502,,0,20250930_164936
503,,0,20250930_164936
504,,0,20250930_164936
505,,0,20250930_164936
506,,0,20250930_164936
507,,0,20250930_164936
508,,0,20250930_164936
509,,0,20250930_164936
510,,0,20250930_164936
511,,0,20250930_164936
512,,0,20250930_164936
513,,0,20250930_164936
514,,0,20250930_164936
515,,0,20250930_164936
516,,0,20250930_164936
517,,0,20250930_164936
518,,0,20250930_164936
519,,0,20250930_164936
520,,0,20250930_164936
521,,0,20250930_164936
522,,0,20250930_164936
523,,0,20250930_164936
524,,0,20250930_164936
525,,0,20250930_164936
526,,0,20250930_164936
527,,0,20250930_164936
528,,0,20250930_164936
529,,0,20250930_164936
530,,0,20250930_164936
531,,0,20250930_164936
